label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height,dataset
kidney capsule,199,273,551,285,kidnyus_350_im-0039-0001_anon_capsule.png,1024,768,kidnyus
kidney medulla,182,202,586,408,kidnyus_2_im-0383-0001_anon_medulla.png,1024,768,kidnyus
kidney capsule,323,250,198,169,kidnyus_341_im-0058-0067_anon_capsule.png,960,720,kidnyus
kidney capsule,327,290,227,166,kidnyus_142_im-0068-0078_anon_capsule.png,960,720,kidnyus
kidney central echo complex,291,347,398,144,kidnyus_55_im-0311-0003_anon_central echo complex.png,1024,768,kidnyus
kidney cortex,301,425,380,91,kidnyus_356_im-0572-0038_anon_cortex.png,1024,768,kidnyus
kidney central echo complex,378,362,692,263,kidnyus_175_im-0922-1024_anon_central echo complex.png,1552,970,kidnyus
kidney medulla,272,328,441,232,kidnyus_414_im-0026-0001_anon_medulla.png,1024,768,kidnyus
kidney medulla,344,305,361,121,kidnyus_416_im-0467-0021_anon_medulla.png,1024,768,kidnyus
kidney medulla,161,272,491,226,kidnyus_362_im-0017-0006_anon_medulla.png,1024,768,kidnyus
kidney medulla,307,279,475,227,kidnyus_143_im-0391-0056_anon_medulla.png,1024,768,kidnyus
kidney central echo complex,267,366,404,206,kidnyus_195_im-0236-0004_anon_central echo complex.png,1024,768,kidnyus
kidney cortex,238,285,538,190,kidnyus_88_im-0263-0006_anon_cortex.png,1024,768,kidnyus
kidney central echo complex,253,191,319,224,kidnyus_14_im-0699-0002_anon_central echo complex.png,960,720,kidnyus
kidney capsule,285,265,403,298,kidnyus_493_im-0137-0005_anon_capsule.png,1024,768,kidnyus
kidney medulla,266,222,433,220,kidnyus_46_im-0102-0045_anon_medulla.png,1024,768,kidnyus
kidney capsule,185,217,636,331,kidnyus_93_im-0086-0049_anon_capsule.png,1024,768,kidnyus
kidney central echo complex,368,279,133,66,kidnyus_503_im-0692-0036_anon_central echo complex.png,960,720,kidnyus
kidney cortex,127,119,255,160,kidnyus_394_im-0074-0006_anon_cortex.png,640,480,kidnyus
kidney medulla,313,152,528,198,kidnyus_72_im-0130-0014_anon_medulla.png,1024,768,kidnyus
kidney capsule,424,401,337,213,kidnyus_208_im-0094-5376_anon_capsule.png,1552,970,kidnyus
kidney central echo complex,468,391,99,72,kidnyus_402_im-0372-0052_anon_central echo complex.png,1024,768,kidnyus
kidney central echo complex,350,259,350,121,kidnyus_558_im-0123-0005_anon_central echo complex.png,1024,768,kidnyus
kidney cortex,195,234,542,305,kidnyus_153_im-0540-0002_anon_cortex.png,1024,768,kidnyus
kidney medulla,287,280,332,186,kidnyus_618_im-0353-0008_anon_medulla.png,1024,768,kidnyus
kidney central echo complex,331,395,212,244,kidnyus_127_im-0676-0025_anon_central echo complex.png,1024,768,kidnyus
kidney medulla,259,385,496,238,kidnyus_401_im-0112-0078_anon_medulla.png,1024,768,kidnyus
kidney cortex,329,240,293,182,kidnyus_605_im-0243-0034_anon_cortex.png,1024,768,kidnyus
kidney central echo complex,236,262,304,246,kidnyus_555_im-0347-0008_anon_central echo complex.png,1024,768,kidnyus
kidney medulla,260,264,322,115,kidnyus_159_im-0215-0035_anon_medulla.png,960,720,kidnyus
kidney medulla,405,339,387,226,kidnyus_205_im-0138-0040_anon_medulla.png,1024,768,kidnyus
kidney central echo complex,286,449,423,141,kidnyus_104_im-0112-0078_anon_central echo complex.png,1024,768,kidnyus
kidney cortex,464,458,396,245,kidnyus_294_im-0048-15872_anon_cortex.png,1552,970,kidnyus
kidney capsule,205,253,543,243,kidnyus_359_im-0092-0006_anon_capsule.png,960,720,kidnyus
kidney central echo complex,246,250,199,155,kidnyus_56_im-0275-0001_anon_central echo complex.png,1024,768,kidnyus
kidney central echo complex,327,223,363,89,kidnyus_93_im-0086-0049_anon_central echo complex.png,1024,768,kidnyus
kidney central echo complex,495,296,289,181,kidnyus_50_im-0648-0012_anon_central echo complex.png,1024,768,kidnyus
kidney medulla,334,292,293,227,kidnyus_405_im-0146-0002_anon_medulla.png,1024,768,kidnyus
kidney cortex,306,326,457,118,kidnyus_364_im-0080-0001_anon_cortex.png,1024,768,kidnyus
kidney central echo complex,193,281,455,161,kidnyus_377_im-0271-0001_anon_central echo complex.png,1024,768,kidnyus
kidney capsule,429,331,324,240,kidnyus_312_im-0091-0063_anon_capsule.png,1024,768,kidnyus
kidney central echo complex,515,572,412,126,kidnyus_384_im-0140-1792_anon_central echo complex.png,1552,970,kidnyus
kidney capsule,185,202,674,369,kidnyus_92_im-0519-0001_anon_capsule.png,1024,768,kidnyus
kidney central echo complex,406,408,186,102,kidnyus_89_im-0086-0018_anon_central echo complex.png,1024,768,kidnyus
kidney medulla,303,262,465,332,kidnyus_158_im-0046-0019_anon_medulla.png,1024,768,kidnyus
