image_name,prompt_text
7_4_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, visible fascicles and hypoechoic muscle tissue."
66_22_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, fascicle orientation and adjacent vertebral structures."
69_24_Bmode.tif,Transverse ultrasound scan of the lumbar multifidus with optimized depth settings for clear LM visualization.
34_28_Bmode.tif,Transverse ultrasound scan of the lumbar multifidus with uniform echogenicity and fascial boundaries.
35_30_Bmode.tif,Transverse ultrasound scan of the lumbar multifidus with uniform echogenicity and fascial boundaries.
109_29_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, cross-sectional area and surrounding aponeurosis."
37_1_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, high-frequency details of muscle fascicles."
9_26_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, optimized depth settings for clear LM visualization."
67_29_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, muscle striations and echogenic septa."
16_37_Bmode.tif,Transverse ultrasound scan of the lumbar multifidus with mild fatty infiltration and disrupted fiber pattern.
3_22_Bmode.tif,Transverse view of the LM muscle showing mild fatty infiltration and disrupted fiber pattern.
81_5_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, uniform echogenicity and fascial boundaries."
58_1_Bmode.tif,Transverse ultrasound scan of the lumbar multifidus with fascicle orientation and adjacent vertebral structures.
63_5_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, tendon attachments and minimal fatty infiltration."
72_33_Bmode.tif,Transverse view of the LM muscle showing fascicle orientation and adjacent vertebral structures.
88_1_Bmode.tif,Transverse ultrasound scan of the lumbar multifidus with mild fatty infiltration and disrupted fiber pattern.
41_2_Bmode.tif,Transverse ultrasound scan of the lumbar multifidus with tendon attachments and minimal fatty infiltration.
65_1_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, high-frequency details of muscle fascicles."
104_26_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, muscle-tendon junctions and adjacent connective tissue."
18_23_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, well-defined borders and homogeneous muscle texture."
15_1_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, reduced muscle thickness due to atrophy."
34_24_Bmode.tif,Transverse view of the LM muscle showing mild fatty infiltration and disrupted fiber pattern.
49_22_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, parallel muscle fibers and hyperechoic perimysium."
48_33_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, cross-sectional area and surrounding aponeurosis."
108_27_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, reduced muscle thickness due to atrophy."
57_32_Bmode.tif,Transverse ultrasound scan of the lumbar multifidus with reduced muscle thickness due to atrophy.
7_24_Bmode.tif,Transverse ultrasound scan of the lumbar multifidus with mild fatty infiltration and disrupted fiber pattern.
88_31_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, cross-sectional area and surrounding aponeurosis."
101_6_Bmode.tif,Transverse ultrasound scan of the lumbar multifidus with mild fatty infiltration and disrupted fiber pattern.
3_1_Bmode.tif,Transverse ultrasound scan of the lumbar multifidus with tendon attachments and minimal fatty infiltration.
16_11_Bmode.tif,Transverse view of the LM muscle showing cross-sectional area and surrounding aponeurosis.
8_5_Bmode.tif,Transverse view of the LM muscle showing high-frequency details of muscle fascicles.
28_30_Bmode.tif,"Cross-sectional ultrasound of the LM muscle, muscle striations and echogenic septa."
17_37_Bmode.tif,Transverse ultrasound scan of the lumbar multifidus with visible fascicles and hypoechoic muscle tissue.
72_34_Bmode.tif,Transverse view of the LM muscle showing parallel muscle fibers and hyperechoic perimysium.
14_28_Bmode.tif,Transverse view of the LM muscle showing optimized depth settings for clear LM visualization.
99_1_Bmode.tif,Transverse view of the LM muscle showing tendon attachments and minimal fatty infiltration.
45_4_Bmode.tif,Transverse view of the LM muscle showing manual segmentation overlay for deep learning.
2_32_Bmode.tif,Transverse ultrasound scan of the lumbar multifidus with visible fascicles and hypoechoic muscle tissue.
98_1_Bmode.tif,Transverse ultrasound scan of the lumbar multifidus with muscle-tendon junctions and adjacent connective tissue.
64_4_Bmode.tif,Transverse ultrasound scan of the lumbar multifidus with high-frequency details of muscle fascicles.
55_26_Bmode.tif,Transverse view of the LM muscle showing optimized depth settings for clear LM visualization.
18_31_Bmode.tif,Transverse view of the LM muscle showing tendon attachments and minimal fatty infiltration.
53_29_Bmode.tif,Transverse view of the LM muscle showing reduced muscle thickness due to atrophy.
